,CountryRegionName,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,YearlyIncome,BikeBuyer,Year_of_Birth
0,1,1,1,1,1,1,0,0,11336,0,1979
1,1,2,2,2,2,1,3,4,81978,1,1960
2,2,2,3,2,1,0,2,0,86892,0,1976
3,3,1,2,2,2,1,0,1,68021,1,1974
4,4,3,2,2,1,0,2,0,52525,1,1980
5,3,1,2,1,2,1,0,1,40535,0,1974
6,5,3,3,1,2,1,4,4,138283,1,1957
7,2,2,2,2,1,0,2,0,90870,1,1979
8,2,3,3,1,2,1,4,3,133207,1,1960
9,5,1,2,2,2,1,0,0,63079,1,1963
10,3,4,4,1,1,1,2,3,13132,1,1964
11,3,1,2,2,2,1,0,0,67438,1,1963
12,1,1,3,2,1,1,3,0,134331,1,1971
13,2,1,5,2,1,0,4,2,162391,1,1962
14,5,5,4,2,2,1,0,0,44593,1,1962
15,3,2,4,2,2,1,0,0,16593,0,1956
16,3,3,4,1,1,1,2,2,17476,1,1964
17,3,2,4,1,2,1,1,0,14278,0,1954
18,5,3,4,1,1,0,1,0,40449,0,1972
19,6,1,5,1,2,1,2,0,114697,0,1944
20,4,3,3,2,1,1,1,1,115198,1,1955
21,1,3,2,2,2,1,2,0,50919,0,1951
22,1,1,3,1,1,0,2,0,92524,1,1963
23,2,1,2,2,2,1,3,3,72126,1,1965
24,2,5,2,1,2,1,0,0,114105,0,1958
25,1,1,3,1,2,0,2,4,79960,0,1962
26,2,5,3,2,2,1,0,4,137889,0,1958
27,4,1,2,2,2,1,1,3,127964,1,1965
28,2,2,2,1,1,0,1,0,39327,0,1977
29,3,1,4,2,2,1,0,0,26678,0,1958
30,2,1,3,2,1,0,1,0,90963,1,1963
31,1,2,2,1,2,1,3,4,67631,1,1961
32,5,2,1,2,1,1,1,3,59227,1,1979
33,3,5,1,1,2,1,0,0,66248,0,1961
34,2,2,3,2,2,1,2,1,103653,0,1949
35,1,2,2,2,2,1,2,4,97878,1,1962
36,2,5,3,1,2,1,0,0,103377,0,1969
37,4,2,3,2,2,1,3,4,97031,1,1961
38,2,1,3,1,2,1,2,2,91313,1,1963
39,2,1,3,1,2,0,0,3,80114,0,1959
40,3,2,4,1,2,1,1,1,31899,0,1967
41,2,3,2,2,2,0,2,0,58840,1,1980
42,2,3,3,1,2,1,1,1,90251,0,1955
43,2,2,2,1,1,0,1,0,44180,0,1976
44,5,1,1,1,1,0,0,1,39675,0,1967
45,2,5,5,2,1,0,2,2,168757,1,1964
46,5,2,1,2,1,1,1,3,56475,1,1979
47,4,5,2,1,1,1,0,0,83439,0,1958
48,4,3,3,1,1,1,2,1,50996,0,1948
49,2,2,3,2,2,1,1,1,107279,0,1948
50,2,5,5,1,1,1,2,0,77970,0,1953
51,1,1,5,2,2,1,2,0,119378,0,1958
52,1,5,5,2,2,0,2,0,169688,0,1931
53,3,4,3,2,2,1,4,5,156236,1,1947
